   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
---------------------------------------------------------
     A      B  -62.7357 0.9999 -313.4801  188.0086  False
     A      C  -72.5985 0.9993 -323.3428  178.1459  False
     A    L00  -72.6192 0.9993 -323.3635  178.1252  False
     A    L01  -80.3623  0.998 -331.1067   170.382  False
     A    L02   -70.394 0.9995 -321.1384  180.3503  False
     A    L03  -75.3292  0.999 -326.0735  175.4152  False
     A    L04  -49.7995    1.0 -300.5438  200.9449  False
     A    L05  -80.5026  0.998 -331.2469  170.2418  False
     A    L06  -68.5994 0.9996 -319.3437   182.145  False
     A    L07  -80.4623  0.998 -331.2067   170.282  False
     A    L08  500.7659    0.0  250.0215  751.5103   True
     A    L09  -62.5087 0.9999 -313.2531  188.2356  False
     A    L10  -80.4055  0.998 -331.1498  170.3389  False
     B      C   -9.8627    1.0 -260.6071  240.8816  False
     B    L00   -9.8834    1.0 -260.6278   240.861  False
     B    L01  -17.6266    1.0 -268.3709  233.1178  False
     B    L02   -7.6583    1.0 -258.4026  243.0861  False
     B    L03  -12.5934    1.0 -263.3378  238.1509  False
     B    L04   12.9363    1.0 -237.8081  263.6806  False
     B    L05  -17.7668    1.0 -268.5112  232.9775  False
     B    L06   -5.8636    1.0  -256.608  244.8807  False
     B    L07  -17.7266    1.0 -268.4709  233.0178  False
     B    L08  563.5016    0.0  312.7573   814.246   True
     B    L09     0.227    1.0 -250.5173  250.9714  False
     B    L10  -17.6697    1.0 -268.4141  233.0746  False
     C    L00   -0.0207    1.0  -250.765  250.7237  False
     C    L01   -7.7638    1.0 -258.5082  242.9805  False
     C    L02    2.2045    1.0 -248.5399  252.9488  False
     C    L03   -2.7307    1.0  -253.475  248.0137  False
     C    L04    22.799    1.0 -227.9453  273.5434  False
     C    L05   -7.9041    1.0 -258.6485  242.8403  False
     C    L06    3.9991    1.0 -246.7452  254.7435  False
     C    L07   -7.8638    1.0 -258.6082  242.8805  False
     C    L08  573.3644    0.0    322.62  824.1087   True
     C    L09   10.0898    1.0 -240.6546  260.8341  False
     C    L10    -7.807    1.0 -258.5514  242.9374  False
   L00    L01   -7.7432    1.0 -258.4875  243.0012  False
   L00    L02    2.2251    1.0 -248.5192  252.9695  False
   L00    L03     -2.71    1.0 -253.4544  248.0343  False
   L00    L04   22.8197    1.0 -227.9247  273.5641  False
   L00    L05   -7.8834    1.0 -258.6278  242.8609  False
   L00    L06    4.0198    1.0 -246.7246  254.7642  False
   L00    L07   -7.8432    1.0 -258.5875  242.9012  False
   L00    L08   573.385    0.0  322.6407  824.1294   True
   L00    L09   10.1104    1.0 -240.6339  260.8548  False
   L00    L10   -7.7863    1.0 -258.5307   242.958  False
   L01    L02    9.9683    1.0 -240.7761  260.7127  False
   L01    L03    5.0332    1.0 -245.7112  255.7775  False
   L01    L04   30.5629    1.0 -220.1815  281.3072  False
   L01    L05   -0.1402    1.0 -250.8846  250.6041  False
   L01    L06    11.763    1.0 -238.9814  262.5073  False
   L01    L07      -0.1    1.0 -250.8444  250.6444  False
   L01    L08  581.1282    0.0  330.3839  831.8726   True
   L01    L09   17.8536    1.0 -232.8907   268.598  False
   L01    L10   -0.0432    1.0 -250.7875  250.7012  False
   L02    L03   -4.9351    1.0 -255.6795  245.8092  False
   L02    L04   20.5946    1.0 -230.1498  271.3389  False
   L02    L05  -10.1086    1.0 -260.8529  240.6358  False
   L02    L06    1.7947    1.0 -248.9497   252.539  False
   L02    L07  -10.0683    1.0 -260.8127  240.6761  False
   L02    L08  571.1599    0.0  320.4156  821.9043   True
   L02    L09    7.8853    1.0  -242.859  258.6297  False
   L02    L10  -10.0115    1.0 -260.7558  240.7329  False
   L03    L04   25.5297    1.0 -225.2146  276.2741  False
   L03    L05   -5.1734    1.0 -255.9178  245.5709  False
   L03    L06    6.7298    1.0 -244.0145  257.4742  False
   L03    L07   -5.1332    1.0 -255.8775  245.6112  False
   L03    L08  576.0951    0.0  325.3507  826.8394   True
   L03    L09   12.8205    1.0 -237.9239  263.5648  False
   L03    L10   -5.0763    1.0 -255.8207   245.668  False
   L04    L05  -30.7031    1.0 -281.4475  220.0412  False
   L04    L06  -18.7999    1.0 -269.5443  231.9445  False
   L04    L07  -30.6629    1.0 -281.4072  220.0815  False
   L04    L08  550.5653    0.0   299.821  801.3097   True
   L04    L09  -12.7093    1.0 -263.4536  238.0351  False
   L04    L10   -30.606    1.0 -281.3504  220.1383  False
   L05    L06   11.9032    1.0 -238.8411  262.6476  False
   L05    L07    0.0402    1.0 -250.7041  250.7846  False
   L05    L08  581.2685    0.0  330.5241  832.0128   True
   L05    L09   17.9939    1.0 -232.7505  268.7382  False
   L05    L10    0.0971    1.0 -250.6473  250.8415  False
   L06    L07   -11.863    1.0 -262.6073  238.8814  False
   L06    L08  569.3653    0.0  318.6209  820.1096   True
   L06    L09    6.0906    1.0 -244.6537   256.835  False
   L06    L10  -11.8061    1.0 -262.5505  238.9382  False
   L07    L08  581.2282    0.0  330.4839  831.9726   True
   L07    L09   17.9536    1.0 -232.7907   268.698  False
   L07    L10    0.0568    1.0 -250.6875  250.8012  False
   L08    L09 -563.2746    0.0  -814.019 -312.5303   True
   L08    L10 -581.1714    0.0 -831.9157  -330.427   True
   L09    L10  -17.8968    1.0 -268.6411  232.8476  False
---------------------------------------------------------
