lambda,vis_t0,vis_tmax,delta_vis
0.0,0.9183,0.6867000000000001,0.23159999999999992
0.1,0.9143000000000001,0.6702999999999999,0.24400000000000022
0.2,0.9065999999999999,0.6769,0.2296999999999999
0.3,0.9109999999999999,0.6749,0.23609999999999987
0.4,0.9119999999999999,0.6719,0.24009999999999987
0.5,0.9158,0.6738,0.242
0.6,0.9104999999999999,0.6756,0.2348999999999999
0.7,0.9151,0.6787,0.23640000000000005
0.8,0.9169,0.6687,0.2482000000000001
0.9,0.9107000000000001,0.6792999999999999,0.23140000000000016
1.0,0.9117,0.6731000000000001,0.2385999999999998
