lambda,rep,t2star_us,n_points,fit_meta
0.0,0,7.003513074264115,15,"{""a"": 0.4831016419235428, ""c"": 0.4354467375458676, ""r2"": 0.7111595833755737}"
0.0,1,6.551630196977421,15,"{""a"": 0.4721229603445819, ""c"": 0.4458033910310492, ""r2"": 0.7345712087994216}"
0.0,2,6.074921756407168,15,"{""a"": 0.4763178356222246, ""c"": 0.43658751171555055, ""r2"": 0.7022794777004031}"
0.0,3,6.56005590596592,15,"{""a"": 0.48014471913285733, ""c"": 0.44443207667736095, ""r2"": 0.7616630736210046}"
0.0,4,7.570307675325653,15,"{""a"": 0.4799674428229174, ""c"": 0.4326645908926828, ""r2"": 0.7470847132744095}"
0.0,5,5.58979532837986,15,"{""a"": 0.47258289138594245, ""c"": 0.4442715735025702, ""r2"": 0.736530562202944}"
0.0,6,7.380674154669546,15,"{""a"": 0.487996357530364, ""c"": 0.43726243959523314, ""r2"": 0.7547119044095623}"
0.0,7,7.469512996908074,15,"{""a"": 0.47803055956214086, ""c"": 0.43427204480541315, ""r2"": 0.7355584988995802}"
0.0,8,7.190978547504479,15,"{""a"": 0.46984880415526586, ""c"": 0.451555413969923, ""r2"": 0.7030414348671246}"
0.0,9,7.69926405437463,15,"{""a"": 0.44912726161743916, ""c"": 0.44725934462476447, ""r2"": 0.7279689559475768}"
0.1,0,6.317214801998025,15,"{""a"": 0.41203887105567333, ""c"": 0.5008078120970659, ""r2"": 0.7242374051038554}"
0.1,1,6.936304602268577,15,"{""a"": 0.44213956758763645, ""c"": 0.48486899651741894, ""r2"": 0.7185528279509357}"
0.1,2,6.860909542287387,15,"{""a"": 0.4397535173662079, ""c"": 0.49715131035243004, ""r2"": 0.7299038522212544}"
0.1,3,6.592581423647892,15,"{""a"": 0.4237152575751877, ""c"": 0.49821229063737893, ""r2"": 0.7246188683044117}"
0.1,4,5.635663216817495,15,"{""a"": 0.39121991165110376, ""c"": 0.5076390190473213, ""r2"": 0.6876833548855837}"
0.1,5,5.928586139613603,15,"{""a"": 0.4191305037255955, ""c"": 0.5020609402186581, ""r2"": 0.7576213683101545}"
0.1,6,6.794533422185773,15,"{""a"": 0.4370540481257259, ""c"": 0.4964122149490353, ""r2"": 0.7131245842677101}"
0.1,7,6.89892902335471,15,"{""a"": 0.4296532670186732, ""c"": 0.48983318259072756, ""r2"": 0.764169553649309}"
0.1,8,6.830718050280152,15,"{""a"": 0.4232725498054016, ""c"": 0.5038440661912067, ""r2"": 0.7464505838109536}"
0.1,9,7.200454366435163,15,"{""a"": 0.41466234015014974, ""c"": 0.5040485496459137, ""r2"": 0.7529229258423944}"
0.2,0,7.187207379120394,15,"{""a"": 0.3653080855039198, ""c"": 0.5592944506495081, ""r2"": 0.7384727151319872}"
0.2,1,6.46503962265554,15,"{""a"": 0.36937904964075474, ""c"": 0.5509166592284014, ""r2"": 0.6827986198890784}"
0.2,2,6.488412696739753,15,"{""a"": 0.37759892275794593, ""c"": 0.5511120458201623, ""r2"": 0.7099294654470618}"
0.2,3,6.677341575522613,15,"{""a"": 0.37553405015044167, ""c"": 0.5494721250883945, ""r2"": 0.7200458492890396}"
0.2,4,7.738500612782513,15,"{""a"": 0.39727495652457184, ""c"": 0.5476267277670156, ""r2"": 0.7129720143569767}"
0.2,5,6.960193435149762,15,"{""a"": 0.36786219033953454, ""c"": 0.5486544891246532, ""r2"": 0.7490837724772743}"
0.2,6,7.511857014227588,15,"{""a"": 0.36944285417086326, ""c"": 0.5536053430025176, ""r2"": 0.7779640332426006}"
0.2,7,5.673322239100553,15,"{""a"": 0.3784365517148856, ""c"": 0.555547427980011, ""r2"": 0.733554364967773}"
0.2,8,6.614255717160422,15,"{""a"": 0.3875242811524171, ""c"": 0.5513492785510887, ""r2"": 0.7090271818710145}"
0.2,9,6.846261172211311,15,"{""a"": 0.37930060153119655, ""c"": 0.5545348838442384, ""r2"": 0.7481925892527085}"
0.3,0,6.468466909837459,15,"{""a"": 0.33221496391522837, ""c"": 0.6019685343508798, ""r2"": 0.7033083484774906}"
0.3,1,6.771175824415962,15,"{""a"": 0.329629156530582, ""c"": 0.609533378147668, ""r2"": 0.7186875894947391}"
0.3,2,6.802940916236043,15,"{""a"": 0.33174883489456836, ""c"": 0.6057127473983217, ""r2"": 0.7078842575765851}"
0.3,3,7.521800114693964,15,"{""a"": 0.33183828056811066, ""c"": 0.6085280240040555, ""r2"": 0.751991249039993}"
0.3,4,6.653148704624275,15,"{""a"": 0.3151357756284435, ""c"": 0.6172732685553457, ""r2"": 0.7464317030054156}"
0.3,5,7.573695166506405,15,"{""a"": 0.32635896043243634, ""c"": 0.6104444964067047, ""r2"": 0.758786483046211}"
0.3,6,6.9347592084122125,15,"{""a"": 0.3257018974139998, ""c"": 0.6125597199368453, ""r2"": 0.711060786370737}"
0.3,7,0.03431265851444465,15,"{""a"": 0.3137991823116565, ""c"": 0.6225007665285432, ""r2"": 0.6741439002311445}"
0.3,8,5.880496354652247,15,"{""a"": 0.32699654019860286, ""c"": 0.6165119922669371, ""r2"": 0.7784906370204802}"
0.3,9,5.924753740702919,15,"{""a"": 0.32027096459054066, ""c"": 0.6141142364722663, ""r2"": 0.7083223738933788}"
0.4,0,6.844973760473594,15,"{""a"": 0.2839836184858064, ""c"": 0.6621503227866127, ""r2"": 0.7298119493358901}"
0.4,1,6.6639863689898995,15,"{""a"": 0.2842328306769566, ""c"": 0.6666893105024294, ""r2"": 0.7445632651583901}"
0.4,2,7.61905660834073,15,"{""a"": 0.28510814626843545, ""c"": 0.6610252457575518, ""r2"": 0.7470735538472946}"
0.4,3,5.898748759517892,15,"{""a"": 0.2761103073681541, ""c"": 0.6683489568118054, ""r2"": 0.7475249986975403}"
0.4,4,6.259921094782881,15,"{""a"": 0.29489136941877064, ""c"": 0.6609241959697748, ""r2"": 0.7228155918621928}"
0.4,5,6.647659071142237,15,"{""a"": 0.2783192592356864, ""c"": 0.6657936236685235, ""r2"": 0.7078867446814701}"
0.4,6,6.498109573494887,15,"{""a"": 0.2782991657675595, ""c"": 0.6715668945856632, ""r2"": 0.7461724526468458}"
0.4,7,7.769671413878193,15,"{""a"": 0.2828826196733593, ""c"": 0.6640199053114899, ""r2"": 0.7314956500953439}"
0.4,8,6.63166371877772,15,"{""a"": 0.2772990020070062, ""c"": 0.6667599445973693, ""r2"": 0.7238018071665631}"
0.4,9,7.3857159463997055,15,"{""a"": 0.27531895274745144, ""c"": 0.664029275680634, ""r2"": 0.7338461637738645}"
0.5,0,6.916640734698766,15,"{""a"": 0.24191984113106657, ""c"": 0.7189705011741578, ""r2"": 0.7501212602628486}"
0.5,1,6.993816404339352,15,"{""a"": 0.238963282693583, ""c"": 0.7179210828630352, ""r2"": 0.6909363595006071}"
0.5,2,8.156559976011808,15,"{""a"": 0.23525183140699132, ""c"": 0.7166031333722799, ""r2"": 0.7178861268191394}"
0.5,3,6.555863551235633,15,"{""a"": 0.2364327433357974, ""c"": 0.7203269715858251, ""r2"": 0.7447734999442488}"
0.5,4,6.62555780970253,15,"{""a"": 0.229587007368443, ""c"": 0.722315813674297, ""r2"": 0.6906012724381706}"
0.5,5,6.815495905544745,15,"{""a"": 0.2390686110949599, ""c"": 0.7177463450256495, ""r2"": 0.7477856162750511}"
0.5,6,6.493098568034101,15,"{""a"": 0.23767015355167379, ""c"": 0.7175499020939684, ""r2"": 0.7173444809094964}"
0.5,7,5.854251996229707,15,"{""a"": 0.23522764837964535, ""c"": 0.7212758756631996, ""r2"": 0.7360959077198995}"
0.5,8,5.641952217306908,15,"{""a"": 0.23378227793331727, ""c"": 0.7223369135365794, ""r2"": 0.7806967694228117}"
0.5,9,7.3415117286016045,15,"{""a"": 0.24213687369972245, ""c"": 0.7188159905814095, ""r2"": 0.7545837450661362}"
0.6,0,6.0925264841837,15,"{""a"": 0.1863187301795702, ""c"": 0.7791484271060529, ""r2"": 0.7182043066255441}"
0.6,1,6.514074287237112,15,"{""a"": 0.18477559747001843, ""c"": 0.7786405129772132, ""r2"": 0.7550402004005281}"
0.6,2,8.214192923264443,15,"{""a"": 0.19353027590570143, ""c"": 0.7721660964362524, ""r2"": 0.7061906569348437}"
0.6,3,7.171218444376413,15,"{""a"": 0.1816936861418867, ""c"": 0.7798945839722197, ""r2"": 0.7205530273118042}"
0.6,4,7.164790848387186,15,"{""a"": 0.19407493389928118, ""c"": 0.7765157686541552, ""r2"": 0.8306170802397976}"
0.6,5,6.191778646958971,15,"{""a"": 0.18204958202350946, ""c"": 0.7798327445947804, ""r2"": 0.709653745945765}"
0.6,6,6.8199694522394045,15,"{""a"": 0.1873267694843261, ""c"": 0.7762689481775915, ""r2"": 0.7270891460312503}"
0.6,7,5.491372928226719,15,"{""a"": 0.19014988504210378, ""c"": 0.7790969306176142, ""r2"": 0.7681715297176128}"
0.6,8,0.3688580136059624,15,"{""a"": 0.183716571781421, ""c"": 0.7850855539931134, ""r2"": 0.6681358310302443}"
0.6,9,6.435316892857344,15,"{""a"": 0.18472839953450368, ""c"": 0.7786396754324423, ""r2"": 0.6855741088718725}"
0.7,0,7.394827631544794,15,"{""a"": 0.1364254251621583, ""c"": 0.8312273126819365, ""r2"": 0.7656276031528157}"
0.7,1,7.825281918829295,15,"{""a"": 0.14063821992012776, ""c"": 0.8318945803750423, ""r2"": 0.7107830532027501}"
0.7,2,7.402455352378514,15,"{""a"": 0.13988382717850237, ""c"": 0.8307986167187096, ""r2"": 0.7786419118780079}"
0.7,3,6.341077233570657,15,"{""a"": 0.14640066336116253, ""c"": 0.8318745123486241, ""r2"": 0.7321314964713288}"
0.7,4,6.282524066597232,15,"{""a"": 0.14206708053760772, ""c"": 0.8326871713571294, ""r2"": 0.7109430717067287}"
0.7,5,6.292268920674626,15,"{""a"": 0.14007592563854848, ""c"": 0.8354584268012566, ""r2"": 0.7291835760839238}"
0.7,6,6.253699203284771,15,"{""a"": 0.14623360058454835, ""c"": 0.8342781943575553, ""r2"": 0.7627948865977054}"
0.7,7,7.452631116551067,15,"{""a"": 0.13945756740215823, ""c"": 0.8315503446859686, ""r2"": 0.7307391641912996}"
0.7,8,6.05103911929607,15,"{""a"": 0.14343904026457305, ""c"": 0.832851145970751, ""r2"": 0.7114308917897267}"
0.7,9,6.641553104443524,15,"{""a"": 0.14220504300724032, ""c"": 0.8307187795862103, ""r2"": 0.6737337544752582}"
0.8,0,5.738195144478995,15,"{""a"": 0.08904856722065528, ""c"": 0.8901162759164497, ""r2"": 0.6912332612376888}"
0.8,1,6.7469306842959655,15,"{""a"": 0.09284786973210445, ""c"": 0.8893393966001372, ""r2"": 0.7126003850303704}"
0.8,2,6.955337891840175,15,"{""a"": 0.0903502283955839, ""c"": 0.890334337790048, ""r2"": 0.7471504534512989}"
0.8,3,7.316296066491475,15,"{""a"": 0.09207824383128722, ""c"": 0.8876255607873937, ""r2"": 0.6733093236855656}"
