lambda,vis_t0,vis_tmax,delta_vis
0.0,0.9167,0.6478,0.2688999999999999
0.1,0.9083999999999998,0.6355999999999999,0.2727999999999998
0.2,0.9105999999999999,0.6405999999999998,0.27
0.3,0.9178,0.6446999999999999,0.2731
0.4,0.9096,0.6456000000000001,0.2639999999999999
0.5,0.9117999999999998,0.6387,0.2730999999999998
0.6,0.9175000000000001,0.6398999999999999,0.2776000000000002
0.7,0.9156000000000001,0.6373999999999999,0.2782000000000002
0.8,0.9138,0.6449999999999999,0.26880000000000004
0.9,0.9137000000000001,0.6456999999999999,0.2680000000000001
1.0,0.9126999999999998,0.6475000000000001,0.26519999999999977
