label,rep,t2star_us,n_points,kind_set,lambda,fit_meta
A,0,73.76629690807046,14,RAMSEY_SINGLE,,"{""a"": 0.9909296991068696, ""c"": 0.01728850835331527, ""r2"": 0.9983814554997587}"
A,1,77.35861617198708,14,RAMSEY_SINGLE,,"{""a"": 0.9770102937810311, ""c"": 0.017589654595154318, ""r2"": 0.9962649363023749}"
A,2,81.65905739504349,14,RAMSEY_SINGLE,,"{""a"": 1.024715241133147, ""c"": -0.02041101117756003, ""r2"": 0.9982400675683505}"
A,3,76.27440316935852,14,RAMSEY_SINGLE,,"{""a"": 0.9975518037210637, ""c"": 0.00809844082279553, ""r2"": 0.9992128862834297}"
A,4,89.18856815488414,14,RAMSEY_SINGLE,,"{""a"": 1.0240436016428878, ""c"": -0.03453143469098587, ""r2"": 0.9991146792318893}"
A,5,82.21189080743555,14,RAMSEY_SINGLE,,"{""a"": 1.0161294157111265, ""c"": -0.021828554709945987, ""r2"": 0.9968968935464182}"
A,6,83.47921075962246,14,RAMSEY_SINGLE,,"{""a"": 1.0274173603897208, ""c"": -0.027444860133731715, ""r2"": 0.9983870234943627}"
A,7,83.46693541384636,14,RAMSEY_SINGLE,,"{""a"": 1.009476120099692, ""c"": -0.012538741209068194, ""r2"": 0.9994102929256701}"
A,8,80.73812268701325,14,RAMSEY_SINGLE,,"{""a"": 0.993346213099634, ""c"": 0.006702078949203292, ""r2"": 0.9994367129582179}"
A,9,77.4186162932068,14,RAMSEY_SINGLE,,"{""a"": 0.9729047884064781, ""c"": 0.024712982064044244, ""r2"": 0.9993520881109957}"
B,0,17.11380436420587,14,BELL_STRUCTURED,,"{""a"": 0.44109634002852277, ""c"": 0.578863417980859, ""r2"": 0.8421060435435821}"
B,1,17.754296160310073,14,BELL_STRUCTURED,,"{""a"": 0.4498743528482236, ""c"": 0.5672613863058737, ""r2"": 0.8665852296067657}"
B,2,18.897400289485898,14,BELL_STRUCTURED,,"{""a"": 0.45330943621174785, ""c"": 0.5623168693178472, ""r2"": 0.8676237168233076}"
B,3,17.437170503151574,14,BELL_STRUCTURED,,"{""a"": 0.4520778514548042, ""c"": 0.5667670449264259, ""r2"": 0.8246879900348918}"
B,4,17.632945295007666,14,BELL_STRUCTURED,,"{""a"": 0.44138734468794594, ""c"": 0.5721563258863651, ""r2"": 0.8651988068307621}"
B,5,17.64403267217397,14,BELL_STRUCTURED,,"{""a"": 0.44595477394547406, ""c"": 0.5700695208674128, ""r2"": 0.8300158673348379}"
B,6,17.96008181313166,14,BELL_STRUCTURED,,"{""a"": 0.4474545219248924, ""c"": 0.5634355682345004, ""r2"": 0.8741894305585409}"
B,7,17.814815915131618,14,BELL_STRUCTURED,,"{""a"": 0.4376461521700995, ""c"": 0.5756009592855096, ""r2"": 0.8735737876169727}"
B,8,17.495171165588296,14,BELL_STRUCTURED,,"{""a"": 0.4413593572766453, ""c"": 0.5725106073549413, ""r2"": 0.8841354547922236}"
B,9,18.454514255145842,14,BELL_STRUCTURED,,"{""a"": 0.44465756831555087, ""c"": 0.5680808149659466, ""r2"": 0.8717226654533893}"
C,0,8.036221776025675,14,BELL_NOISE,,"{""a"": 1.309156849942707, ""c"": -0.19926702379728334, ""r2"": 0.4176723174063699}"
C,1,7.955884567627024,14,BELL_NOISE,,"{""a"": 1.3108430556371773, ""c"": -0.20305058310042912, ""r2"": 0.4231278723743853}"
C,2,7.99608011955875,14,BELL_NOISE,,"{""a"": 1.3073114755495836, ""c"": -0.2007317058491516, ""r2"": 0.42209278424670493}"
C,3,7.894687797493921,14,BELL_NOISE,,"{""a"": 1.3070791951425182, ""c"": -0.20054031010436793, ""r2"": 0.421027942296731}"
C,4,8.034926070972077,14,BELL_NOISE,,"{""a"": 1.305968651068108, ""c"": -0.19706182984988133, ""r2"": 0.41994140428408233}"
C,5,7.902928471188015,14,BELL_NOISE,,"{""a"": 1.3020669745913256, ""c"": -0.19669834433311212, ""r2"": 0.42195308094531314}"
C,6,7.888822925633951,14,BELL_NOISE,,"{""a"": 1.301293810065887, ""c"": -0.19459941126529687, ""r2"": 0.4170781530450973}"
C,7,8.132957611970083,14,BELL_NOISE,,"{""a"": 1.312478197811039, ""c"": -0.20750810762891803, ""r2"": 0.42920163891046925}"
C,8,7.814897912226331,14,BELL_NOISE,,"{""a"": 1.30010266440091, ""c"": -0.19536156466441312, ""r2"": 0.41526654553037123}"
C,9,7.919421887848056,14,BELL_NOISE,,"{""a"": 1.3047051256783708, ""c"": -0.20170423313019292, ""r2"": 0.4189325545770002}"
