lambda,rep,t2star_us,amplitude,n_points,fit_meta
0.0,0,8.728250331997291,0.4065038217270161,15,"{""a"": 0.4065038217270161, ""c"": 0.5030318616005016, ""r2"": 0.6725155402174259, ""T"": 8.728250331997291}"
0.0,1,9.94020172170657,0.4329147820351793,15,"{""a"": 0.4329147820351793, ""c"": 0.47941447699784634, ""r2"": 0.694394315611933, ""T"": 9.94020172170657}"
0.0,2,8.93995840066856,0.4095440431363027,15,"{""a"": 0.4095440431363027, ""c"": 0.4937961478502189, ""r2"": 0.714258206223586, ""T"": 8.93995840066856}"
0.0,3,9.61095224631598,0.4180249296863913,15,"{""a"": 0.4180249296863913, ""c"": 0.48478527501195345, ""r2"": 0.6688866148527995, ""T"": 9.61095224631598}"
0.0,4,10.13703054733234,0.452677715725527,15,"{""a"": 0.452677715725527, ""c"": 0.4808321785008634, ""r2"": 0.6678658483072776, ""T"": 10.13703054733234}"
0.0,5,9.108358916687152,0.4139957818822139,15,"{""a"": 0.4139957818822139, ""c"": 0.4951247907400418, ""r2"": 0.6999819517527952, ""T"": 9.108358916687152}"
0.0,6,9.206708421225239,0.4061881212899145,15,"{""a"": 0.4061881212899145, ""c"": 0.49683002094502654, ""r2"": 0.6693659758231656, ""T"": 9.206708421225239}"
0.0,7,0.27094830596593056,0.37935600896447397,15,"{""a"": 0.37935600896447397, ""c"": 0.5146439104339952, ""r2"": 0.5612123443969406, ""T"": 0.27094830596593056}"
0.0,8,9.176353284853406,0.4101683903624513,15,"{""a"": 0.4101683903624513, ""c"": 0.49867700351868965, ""r2"": 0.6933993311828759, ""T"": 9.176353284853406}"
0.0,9,8.163974847007333,0.43324601802509616,15,"{""a"": 0.43324601802509616, ""c"": 0.4896624514555772, ""r2"": 0.7059042287699793, ""T"": 8.163974847007333}"
0.1,0,9.549231591877392,0.41924555126313073,15,"{""a"": 0.41924555126313073, ""c"": 0.4983040236578594, ""r2"": 0.7086939463585699, ""T"": 9.549231591877392}"
