basis,lambda,rep,t2star_us,amplitude,n_points,fit_meta
ZBASIS,0.0,0,10.63876055858139,0.2824370472857636,15,"{""a"": 0.2824370472857636, ""c"": 0.4945956438260691, ""r2"": 0.5227627810251234, ""T"": 10.63876055858139}"
ZBASIS,0.0,1,10.047367977107882,0.31129521458140175,15,"{""a"": 0.31129521458140175, ""c"": 0.49703322741630745, ""r2"": 0.4998386132806405, ""T"": 10.047367977107882}"
ZBASIS,0.0,2,12.42736471791965,0.29147632204934665,15,"{""a"": 0.29147632204934665, ""c"": 0.4970642855665729, ""r2"": 0.5432419005776409, ""T"": 12.42736471791965}"
ZBASIS,0.0,3,8.632262486448674,0.29733430083148205,15,"{""a"": 0.29733430083148205, ""c"": 0.5096678942638917, ""r2"": 0.5373449519649742, ""T"": 8.632262486448674}"
ZBASIS,0.0,4,10.988905924317617,0.3025549179474248,15,"{""a"": 0.3025549179474248, ""c"": 0.4954063585735249, ""r2"": 0.6144534383958722, ""T"": 10.988905924317617}"
ZBASIS,0.0,5,11.503290680246867,0.2931219093180562,15,"{""a"": 0.2931219093180562, ""c"": 0.5005273869342607, ""r2"": 0.5132578415740858, ""T"": 11.503290680246867}"
ZBASIS,0.0,6,8.90116157656284,0.27776437442555135,15,"{""a"": 0.27776437442555135, ""c"": 0.505490037050739, ""r2"": 0.4858845676891137, ""T"": 8.90116157656284}"
ZBASIS,0.0,7,9.445770165956514,0.30917530434015444,15,"{""a"": 0.30917530434015444, ""c"": 0.4958005284364852, ""r2"": 0.5555764291421089, ""T"": 9.445770165956514}"
ZBASIS,0.0,8,10.172675459368106,0.3257279866392207,15,"{""a"": 0.3257279866392207, ""c"": 0.484824363244145, ""r2"": 0.5431932851429035, ""T"": 10.172675459368106}"
ZBASIS,0.0,9,10.231924421255878,0.2810151804294187,15,"{""a"": 0.2810151804294187, ""c"": 0.5068229588864022, ""r2"": 0.5467384756674349, ""T"": 10.231924421255878}"
ZBASIS,0.1,0,10.250125122093058,0.2877499670704914,15,"{""a"": 0.2877499670704914, ""c"": 0.49360586017423763, ""r2"": 0.4475836333941444, ""T"": 10.250125122093058}"
ZBASIS,0.1,1,9.584319063151694,0.3147753670732754,15,"{""a"": 0.3147753670732754, ""c"": 0.48948024866233447, ""r2"": 0.513880740200346, ""T"": 9.584319063151694}"
ZBASIS,0.1,2,11.53038169642832,0.29030399989702216,15,"{""a"": 0.29030399989702216, ""c"": 0.5014387813202983, ""r2"": 0.6221824680758733, ""T"": 11.53038169642832}"
ZBASIS,0.1,3,9.260700057399825,0.2992369238696369,15,"{""a"": 0.2992369238696369, ""c"": 0.5070073178033538, ""r2"": 0.48870953658643523, ""T"": 9.260700057399825}"
ZBASIS,0.1,4,10.32324823450423,0.3058229253519808,15,"{""a"": 0.3058229253519808, ""c"": 0.49451716837318005, ""r2"": 0.5175196757478129, ""T"": 10.32324823450423}"
ZBASIS,0.1,5,10.922931935930778,0.2891451870638173,15,"{""a"": 0.2891451870638173, ""c"": 0.49966019491170205, ""r2"": 0.4449777000543216, ""T"": 10.922931935930778}"
ZBASIS,0.1,6,9.195465283067183,0.28174322664772056,15,"{""a"": 0.28174322664772056, ""c"": 0.4995873601271601, ""r2"": 0.4125691117116247, ""T"": 9.195465283067183}"
ZBASIS,0.1,7,9.265536311309871,0.30758205536709476,15,"{""a"": 0.30758205536709476, ""c"": 0.49769945833937673, ""r2"": 0.5592026912828638, ""T"": 9.265536311309871}"
ZBASIS,0.1,8,11.583091603928297,0.33420064933512456,15,"{""a"": 0.33420064933512456, ""c"": 0.4790500696491133, ""r2"": 0.5242042796162956, ""T"": 11.583091603928297}"
ZBASIS,0.1,9,8.626486168235758,0.25519166043238134,15,"{""a"": 0.25519166043238134, ""c"": 0.5284807503441742, ""r2"": 0.5339668998573257, ""T"": 8.626486168235758}"
ZBASIS,0.2,0,0.1804185504966027,0.2553714479363731,15,"{""a"": 0.2553714479363731, ""c"": 0.5098285699609145, ""r2"": 0.2459553295506428, ""T"": 0.1804185504966027}"
ZBASIS,0.2,1,9.121939470352725,0.31853380918148494,15,"{""a"": 0.31853380918148494, ""c"": 0.4819150684450422, ""r2"": 0.47163366142022856, ""T"": 9.121939470352725}"
ZBASIS,0.2,2,10.6601059176362,0.2897263453990974,15,"{""a"": 0.2897263453990974, ""c"": 0.5056697170418004, ""r2"": 0.6004987991850987, ""T"": 10.6601059176362}"
ZBASIS,0.2,3,9.983383070160043,0.30129131057465736,15,"{""a"": 0.30129131057465736, ""c"": 0.5040917431263995, ""r2"": 0.4005678846376468, ""T"": 9.983383070160043}"
ZBASIS,0.2,4,9.794865988410498,0.30907256213474854,15,"{""a"": 0.30907256213474854, ""c"": 0.49334356202383356, ""r2"": 0.39892654899334856, ""T"": 9.794865988410498}"
ZBASIS,0.2,5,10.173469051076752,0.2859646988472856,15,"{""a"": 0.2859646988472856, ""c"": 0.49902287918179067, ""r2"": 0.347564248847667, ""T"": 10.173469051076752}"
ZBASIS,0.2,6,9.482890448077242,0.2857928320738074,15,"{""a"": 0.2857928320738074, ""c"": 0.49367214016210215, ""r2"": 0.32829369329268976, ""T"": 9.482890448077242}"
ZBASIS,0.2,7,9.087502028577049,0.3060108381839148,15,"{""a"": 0.3060108381839148, ""c"": 0.49958603100149174, ""r2"": 0.48435108828766993, ""T"": 9.087502028577049}"
ZBASIS,0.2,8,13.044115435159869,0.34422864591554136,15,"{""a"": 0.34422864591554136, ""c"": 0.47275870158681543, ""r2"": 0.467737547788855, ""T"": 13.044115435159869}"
ZBASIS,0.2,9,6.784887512186551,0.23192438822385336,15,"{""a"": 0.23192438822385336, ""c"": 0.5496047739960978, ""r2"": 0.45731941991438074, ""T"": 6.784887512186551}"
ZBASIS,0.30000000000000004,0,9.549217785100295,0.2987084215400221,15,"{""a"": 0.2987084215400221, ""c"": 0.4915071084143442, ""r2"": 0.2752091263563089, ""T"": 9.549217785100295}"
