lambda,rep,t2star_us,amplitude,n_points,fit_meta
0.0,0,7.003513074264115,0.4831016419235428,15,"{""a"": 0.4831016419235428, ""c"": 0.4354467375458676, ""r2"": 0.7111595833755737, ""T"": 7.003513074264115}"
0.0,1,6.551630196977421,0.4721229603445819,15,"{""a"": 0.4721229603445819, ""c"": 0.4458033910310492, ""r2"": 0.7345712087994216, ""T"": 6.551630196977421}"
0.0,2,6.074921756407168,0.4763178356222246,15,"{""a"": 0.4763178356222246, ""c"": 0.43658751171555055, ""r2"": 0.7022794777004031, ""T"": 6.074921756407168}"
0.0,3,6.56005590596592,0.48014471913285733,15,"{""a"": 0.48014471913285733, ""c"": 0.44443207667736095, ""r2"": 0.7616630736210046, ""T"": 6.56005590596592}"
0.0,4,7.570307675325653,0.4799674428229174,15,"{""a"": 0.4799674428229174, ""c"": 0.4326645908926828, ""r2"": 0.7470847132744095, ""T"": 7.570307675325653}"
0.0,5,5.58979532837986,0.47258289138594245,15,"{""a"": 0.47258289138594245, ""c"": 0.4442715735025702, ""r2"": 0.736530562202944, ""T"": 5.58979532837986}"
0.0,6,7.380674154669546,0.487996357530364,15,"{""a"": 0.487996357530364, ""c"": 0.43726243959523314, ""r2"": 0.7547119044095623, ""T"": 7.380674154669546}"
0.0,7,7.469512996908074,0.47803055956214086,15,"{""a"": 0.47803055956214086, ""c"": 0.43427204480541315, ""r2"": 0.7355584988995802, ""T"": 7.469512996908074}"
0.0,8,7.190978547504479,0.46984880415526586,15,"{""a"": 0.46984880415526586, ""c"": 0.451555413969923, ""r2"": 0.7030414348671246, ""T"": 7.190978547504479}"
0.0,9,7.69926405437463,0.44912726161743916,15,"{""a"": 0.44912726161743916, ""c"": 0.44725934462476447, ""r2"": 0.7279689559475768, ""T"": 7.69926405437463}"
0.1,0,0.2000246673527144,0.40114181194926957,15,"{""a"": 0.40114181194926957, ""c"": 0.41155803078803344, ""r2"": 0.6724200635493728, ""T"": 0.2000246673527144}"
0.1,1,6.936575232021061,0.4421384739037601,15,"{""a"": 0.4421384739037601, ""c"": 0.3848682522250841, ""r2"": 0.7185528278465032, ""T"": 6.936575232021061}"
0.1,2,6.861038452963073,0.4397530045388528,15,"{""a"": 0.4397530045388528, ""c"": 0.39715095791050975, ""r2"": 0.7299038523033179, ""T"": 6.861038452963073}"
0.1,3,6.592577394439585,0.4237152723316434,15,"{""a"": 0.4237152723316434, ""c"": 0.39821230122780515, ""r2"": 0.72461886830521, ""T"": 6.592577394439585}"
0.1,4,5.635662902010035,0.3912199122989484,15,"{""a"": 0.3912199122989484, ""c"": 0.40763901981469497, ""r2"": 0.6876833548855925, ""T"": 5.635662902010035}"
0.1,5,5.928589585980175,0.4191304923608649,15,"{""a"": 0.4191304923608649, ""c"": 0.4020609313994109, ""r2"": 0.7576213683107211, ""T"": 5.928589585980175}"
0.1,6,0.03178834784736395,0.42113422052976596,15,"{""a"": 0.42113422052976596, ""c"": 0.40956553374564286, ""r2"": 0.643286969068679, ""T"": 0.03178834784736395}"
0.1,7,6.898928776705286,0.4296532679484915,15,"{""a"": 0.4296532679484915, ""c"": 0.389833183252971, ""r2"": 0.7641695536493082, ""T"": 6.898928776705286}"
0.1,8,6.83071755865978,0.4232725517782942,15,"{""a"": 0.4232725517782942, ""c"": 0.40384406747534135, ""r2"": 0.7464505838109257, ""T"": 6.83071755865978}"
0.1,9,7.2003100583781325,0.41466290450079957,15,"{""a"": 0.41466290450079957, ""c"": 0.404048922551859, ""r2"": 0.7529229258493104, ""T"": 7.2003100583781325}"
0.2,0,7.187188488808052,0.36530815050677323,15,"{""a"": 0.36530815050677323, ""c"": 0.3592944936511611, ""r2"": 0.7384727151189305, ""T"": 7.187188488808052}"
0.2,1,0.03842450135366704,0.3598795954244592,15,"{""a"": 0.3598795954244592, ""c"": 0.36091468448992153, ""r2"": 0.6333458111808921, ""T"": 0.03842450135366704}"
0.2,2,6.48841284728632,0.37759892268170436,15,"{""a"": 0.37759892268170436, ""c"": 0.3511120454305257, ""r2"": 0.7099294654470638, ""T"": 6.48841284728632}"
0.2,3,6.677330569116938,0.3755340874259781,15,"{""a"": 0.3755340874259781, ""c"": 0.34947215065487797, ""r2"": 0.7200458492931641, ""T"": 6.677330569116938}"
0.2,4,0.029359966806499216,0.37908408897521656,15,"{""a"": 0.37908408897521656, ""c"": 0.36251549673641364, ""r2"": 0.6195292596769498, ""T"": 0.029359966806499216}"
0.2,5,6.960205370964556,0.36786214968815306,15,"{""a"": 0.36786214968815306, ""c"": 0.3486544618440827, ""r2"": 0.749083772481904, ""T"": 6.960205370964556}"
0.2,6,7.5118666256589615,0.36944282009925616,15,"{""a"": 0.36944282009925616, ""c"": 0.3536053207988485, ""r2"": 0.7779640332453371, ""T"": 7.5118666256589615}"
0.2,7,5.673322546154699,0.3784365514698525,15,"{""a"": 0.3784365514698525, ""c"": 0.3555474272226995, ""r2"": 0.7335543649676668, ""T"": 5.673322546154699}"
0.2,8,6.614264198238273,0.3875242520073762,15,"{""a"": 0.3875242520073762, ""c"": 0.3513492582172864, ""r2"": 0.7090271818678119, ""T"": 6.614264198238273}"
0.2,9,6.846239528695215,0.37930067604086626,15,"{""a"": 0.37930067604086626, ""c"": 0.354534934819575, ""r2"": 0.7481925892537373, ""T"": 6.846239528695215}"
0.3,0,6.4684670507165745,0.3322149628930903,15,"{""a"": 0.3322149628930903, ""c"": 0.3019685341186607, ""r2"": 0.7033083484774761, ""T"": 6.4684670507165745}"
