kind,blind,delay_us,lambda,classical_ref,rounds,shots,counts_json,p00,p11,p01,p10,rep
T1,Z,0.0,,,,2000,"{""1"": 1946, ""0"": 54}",0.027,0.973,0.0,0.0,
T1,Z,8.333333333333334,,,,2000,"{""1"": 1954, ""0"": 46}",0.023,0.977,0.0,0.0,
T1,Z,16.666666666666668,,,,2000,"{""1"": 1973, ""0"": 27}",0.0135,0.9865,0.0,0.0,
T1,Z,25.0,,,,2000,"{""1"": 1964, ""0"": 36}",0.018,0.982,0.0,0.0,
T1,Z,33.333333333333336,,,,2000,"{""1"": 1968, ""0"": 32}",0.016,0.984,0.0,0.0,
T1,Z,41.66666666666667,,,,2000,"{""0"": 44, ""1"": 1956}",0.022,0.978,0.0,0.0,
T1,Z,50.0,,,,2000,"{""1"": 1960, ""0"": 40}",0.02,0.98,0.0,0.0,
T1,Z,60.0,,,,2000,"{""1"": 1955, ""0"": 45}",0.0225,0.9775,0.0,0.0,
T1,Z,80.0,,,,2000,"{""1"": 1967, ""0"": 33}",0.0165,0.9835,0.0,0.0,
T1,Z,100.0,,,,2000,"{""1"": 1959, ""0"": 41}",0.0205,0.9795,0.0,0.0,
T1,Z,120.0,,,,2000,"{""1"": 1957, ""0"": 43}",0.0215,0.9785,0.0,0.0,
T1,Z,140.0,,,,2000,"{""1"": 1965, ""0"": 35}",0.0175,0.9825,0.0,0.0,
T1,Z,160.0,,,,2000,"{""1"": 1959, ""0"": 41}",0.0205,0.9795,0.0,0.0,
T1,Z,180.0,,,,2000,"{""1"": 1954, ""0"": 46}",0.023,0.977,0.0,0.0,
T1,Z,200.0,,,,2000,"{""1"": 1961, ""0"": 39}",0.0195,0.9805,0.0,0.0,
RAMSEY_SINGLE,A,0.0,,,,2000,"{""0"": 1957, ""1"": 43}",0.9785,0.0215,0.0,0.0,
RAMSEY_SINGLE,A,8.333333333333334,,,,2000,"{""0"": 1873, ""1"": 127}",0.9365,0.0635,0.0,0.0,
RAMSEY_SINGLE,A,16.666666666666668,,,,2000,"{""0"": 1821, ""1"": 179}",0.9105,0.0895,0.0,0.0,
RAMSEY_SINGLE,A,25.0,,,,2000,"{""1"": 289, ""0"": 1711}",0.8555,0.1445,0.0,0.0,
RAMSEY_SINGLE,A,33.333333333333336,,,,2000,"{""0"": 1677, ""1"": 323}",0.8385,0.1615,0.0,0.0,
RAMSEY_SINGLE,A,41.66666666666667,,,,2000,"{""0"": 1613, ""1"": 387}",0.8065,0.1935,0.0,0.0,
RAMSEY_SINGLE,A,50.0,,,,2000,"{""0"": 1563, ""1"": 437}",0.7815,0.2185,0.0,0.0,
RAMSEY_SINGLE,A,60.0,,,,2000,"{""0"": 1503, ""1"": 497}",0.7515,0.2485,0.0,0.0,
RAMSEY_SINGLE,A,80.0,,,,2000,"{""0"": 1378, ""1"": 622}",0.689,0.311,0.0,0.0,
RAMSEY_SINGLE,A,100.0,,,,2000,"{""1"": 689, ""0"": 1311}",0.6555,0.3445,0.0,0.0,
RAMSEY_SINGLE,A,120.0,,,,2000,"{""0"": 1233, ""1"": 767}",0.6165,0.3835,0.0,0.0,
RAMSEY_SINGLE,A,140.0,,,,2000,"{""1"": 800, ""0"": 1200}",0.6,0.4,0.0,0.0,
RAMSEY_SINGLE,A,160.0,,,,2000,"{""1"": 817, ""0"": 1183}",0.5915,0.4085,0.0,0.0,
RAMSEY_SINGLE,A,180.0,,,,2000,"{""1"": 883, ""0"": 1117}",0.5585,0.4415,0.0,0.0,
RAMSEY_SINGLE,A,200.0,,,,2000,"{""0"": 1102, ""1"": 898}",0.551,0.449,0.0,0.0,
BELL_STRUCTURED,B,0.0,,,,2000,"{""11"": 994, ""00"": 922, ""01"": 41, ""10"": 43}",0.461,0.497,0.0205,0.0215,
BELL_STRUCTURED,B,8.333333333333334,,,,2000,"{""00"": 858, ""01"": 212, ""11"": 732, ""10"": 198}",0.429,0.366,0.106,0.099,
BELL_STRUCTURED,B,16.666666666666668,,,,2000,"{""01"": 243, ""00"": 865, ""11"": 626, ""10"": 266}",0.4325,0.313,0.1215,0.133,
BELL_STRUCTURED,B,25.0,,,,2000,"{""01"": 281, ""10"": 295, ""00"": 887, ""11"": 537}",0.4435,0.2685,0.1405,0.1475,
BELL_STRUCTURED,B,33.333333333333336,,,,2000,"{""00"": 922, ""11"": 457, ""10"": 331, ""01"": 290}",0.461,0.2285,0.145,0.1655,
BELL_STRUCTURED,B,41.66666666666667,,,,2000,"{""00"": 955, ""01"": 341, ""10"": 303, ""11"": 401}",0.4775,0.2005,0.1705,0.1515,
BELL_STRUCTURED,B,50.0,,,,2000,"{""10"": 323, ""01"": 313, ""11"": 370, ""00"": 994}",0.497,0.185,0.1565,0.1615,
BELL_STRUCTURED,B,60.0,,,,2000,"{""00"": 1006, ""11"": 324, ""10"": 347, ""01"": 323}",0.503,0.162,0.1615,0.1735,
BELL_STRUCTURED,B,80.0,,,,2000,"{""00"": 1133, ""11"": 236, ""01"": 314, ""10"": 317}",0.5665,0.118,0.157,0.1585,
BELL_STRUCTURED,B,100.0,,,,2000,"{""00"": 1204, ""01"": 318, ""10"": 297, ""11"": 181}",0.602,0.0905,0.159,0.1485,
BELL_STRUCTURED,B,120.0,,,,2000,"{""00"": 1279, ""10"": 295, ""11"": 132, ""01"": 294}",0.6395,0.066,0.147,0.1475,
BELL_STRUCTURED,B,140.0,,,,2000,"{""00"": 1349, ""10"": 269, ""01"": 266, ""11"": 116}",0.6745,0.058,0.133,0.1345,
BELL_STRUCTURED,B,160.0,,,,2000,"{""00"": 1468, ""10"": 245, ""01"": 202, ""11"": 85}",0.734,0.0425,0.101,0.1225,
BELL_STRUCTURED,B,180.0,,,,2000,"{""10"": 209, ""00"": 1488, ""11"": 96, ""01"": 207}",0.744,0.048,0.1035,0.1045,
BELL_STRUCTURED,B,200.0,,,,2000,"{""00"": 1524, ""10"": 207, ""01"": 211, ""11"": 58}",0.762,0.029,0.1055,0.1035,
BELL_NOISE,C,0.0,,,,2000,"{""11"": 58, ""01"": 926, ""10"": 952, ""00"": 64}",0.032,0.029,0.463,0.476,
BELL_NOISE,C,8.333333333333334,,,,2000,"{""10"": 843, ""01"": 903, ""00"": 133, ""11"": 121}",0.0665,0.0605,0.4515,0.4215,
BELL_NOISE,C,16.666666666666668,,,,2000,"{""10"": 814, ""01"": 780, ""11"": 146, ""00"": 260}",0.13,0.073,0.39,0.407,
BELL_NOISE,C,25.0,,,,2000,"{""00"": 789, ""10"": 223, ""11"": 723, ""01"": 265}",0.3945,0.3615,0.1325,0.1115,
BELL_NOISE,C,33.333333333333336,,,,2000,"{""11"": 263, ""01"": 662, ""00"": 301, ""10"": 774}",0.1505,0.1315,0.331,0.387,
BELL_NOISE,C,41.66666666666667,,,,2000,"{""11"": 623, ""01"": 178, ""00"": 773, ""10"": 426}",0.3865,0.3115,0.089,0.213,
BELL_NOISE,C,50.0,,,,2000,"{""01"": 669, ""10"": 643, ""00"": 340, ""11"": 348}",0.17,0.174,0.3345,0.3215,
BELL_NOISE,C,60.0,,,,2000,"{""01"": 349, ""11"": 800, ""00"": 486, ""10"": 365}",0.243,0.4,0.1745,0.1825,
BELL_NOISE,C,80.0,,,,2000,"{""10"": 399, ""00"": 260, ""11"": 543, ""01"": 798}",0.13,0.2715,0.399,0.1995,
BELL_NOISE,C,100.0,,,,2000,"{""01"": 349, ""11"": 404, ""00"": 753, ""10"": 494}",0.3765,0.202,0.1745,0.247,
BELL_NOISE,C,120.0,,,,2000,"{""11"": 740, ""00"": 357, ""01"": 535, ""10"": 368}",0.1785,0.37,0.2675,0.184,
BELL_NOISE,C,140.0,,,,2000,"{""01"": 312, ""11"": 763, ""10"": 618, ""00"": 307}",0.1535,0.3815,0.156,0.309,
BELL_NOISE,C,160.0,,,,2000,"{""01"": 586, ""00"": 422, ""10"": 455, ""11"": 537}",0.211,0.2685,0.293,0.2275,
BELL_NOISE,C,180.0,,,,2000,"{""10"": 780, ""01"": 245, ""00"": 537, ""11"": 438}",0.2685,0.219,0.1225,0.39,
BELL_NOISE,C,200.0,,,,2000,"{""01"": 689, ""10"": 340, ""00"": 436, ""11"": 535}",0.218,0.2675,0.3445,0.17,
BELL_LAMBDA_SWEEP,L00,0.0,0.0,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 933, ""11"": 988, ""01"": 36, ""10"": 43}",0.4665,0.494,0.018,0.0215,0.0
BELL_LAMBDA_SWEEP,L00,8.333333333333334,0.0,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 954, ""10"": 42, ""00"": 959, ""01"": 45}",0.4795,0.477,0.0225,0.021,0.0
BELL_LAMBDA_SWEEP,L00,16.666666666666668,0.0,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 984, ""11"": 915, ""10"": 61, ""01"": 40}",0.492,0.4575,0.02,0.0305,0.0
BELL_LAMBDA_SWEEP,L00,25.0,0.0,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 978, ""11"": 935, ""10"": 39, ""01"": 48}",0.489,0.4675,0.024,0.0195,0.0
BELL_LAMBDA_SWEEP,L00,33.333333333333336,0.0,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 968, ""11"": 947, ""01"": 46, ""10"": 39}",0.484,0.4735,0.023,0.0195,0.0
BELL_LAMBDA_SWEEP,L00,41.66666666666667,0.0,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 958, ""00"": 956, ""01"": 44, ""10"": 42}",0.478,0.479,0.022,0.021,0.0
BELL_LAMBDA_SWEEP,L00,50.0,0.0,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 935, ""11"": 977, ""10"": 46, ""01"": 42}",0.4675,0.4885,0.021,0.023,0.0
BELL_LAMBDA_SWEEP,L00,60.0,0.0,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 1000, ""11"": 923, ""01"": 45, ""10"": 32}",0.5,0.4615,0.0225,0.016,0.0
BELL_LAMBDA_SWEEP,L00,80.0,0.0,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""10"": 61, ""00"": 974, ""11"": 928, ""01"": 37}",0.487,0.464,0.0185,0.0305,0.0
BELL_LAMBDA_SWEEP,L00,100.0,0.0,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 946, ""10"": 39, ""00"": 980, ""01"": 35}",0.49,0.473,0.0175,0.0195,0.0
BELL_LAMBDA_SWEEP,L00,120.0,0.0,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 931, ""11"": 980, ""01"": 43, ""10"": 46}",0.4655,0.49,0.0215,0.023,0.0
BELL_LAMBDA_SWEEP,L00,140.0,0.0,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 977, ""00"": 928, ""10"": 45, ""01"": 50}",0.464,0.4885,0.025,0.0225,0.0
BELL_LAMBDA_SWEEP,L00,160.0,0.0,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 935, ""00"": 984, ""10"": 44, ""01"": 37}",0.492,0.4675,0.0185,0.022,0.0
BELL_LAMBDA_SWEEP,L00,180.0,0.0,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 949, ""00"": 968, ""10"": 40, ""01"": 43}",0.484,0.4745,0.0215,0.02,0.0
BELL_LAMBDA_SWEEP,L00,200.0,0.0,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 963, ""11"": 957, ""10"": 37, ""01"": 43}",0.4815,0.4785,0.0215,0.0185,0.0
BELL_LAMBDA_SWEEP,L01,0.0,0.1,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 946, ""00"": 960, ""10"": 45, ""01"": 49}",0.48,0.473,0.0245,0.0225,0.0
BELL_LAMBDA_SWEEP,L01,8.333333333333334,0.1,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 960, ""11"": 949, ""10"": 43, ""01"": 48}",0.48,0.4745,0.024,0.0215,0.0
BELL_LAMBDA_SWEEP,L01,16.666666666666668,0.1,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 989, ""00"": 938, ""01"": 42, ""10"": 31}",0.469,0.4945,0.021,0.0155,0.0
BELL_LAMBDA_SWEEP,L01,25.0,0.1,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 967, ""00"": 957, ""01"": 37, ""10"": 39}",0.4785,0.4835,0.0185,0.0195,0.0
BELL_LAMBDA_SWEEP,L01,33.333333333333336,0.1,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 959, ""00"": 968, ""10"": 30, ""01"": 43}",0.484,0.4795,0.0215,0.015,0.0
BELL_LAMBDA_SWEEP,L01,41.66666666666667,0.1,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 950, ""11"": 958, ""10"": 43, ""01"": 49}",0.475,0.479,0.0245,0.0215,0.0
BELL_LAMBDA_SWEEP,L01,50.0,0.1,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 1000, ""00"": 911, ""01"": 47, ""10"": 42}",0.4555,0.5,0.0235,0.021,0.0
BELL_LAMBDA_SWEEP,L01,60.0,0.1,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 922, ""00"": 981, ""10"": 50, ""01"": 47}",0.4905,0.461,0.0235,0.025,0.0
BELL_LAMBDA_SWEEP,L01,80.0,0.1,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 951, ""11"": 971, ""01"": 42, ""10"": 36}",0.4755,0.4855,0.021,0.018,0.0
BELL_LAMBDA_SWEEP,L01,100.0,0.1,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 997, ""00"": 918, ""01"": 42, ""10"": 43}",0.459,0.4985,0.021,0.0215,0.0
BELL_LAMBDA_SWEEP,L01,120.0,0.1,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 959, ""11"": 961, ""01"": 38, ""10"": 42}",0.4795,0.4805,0.019,0.021,0.0
BELL_LAMBDA_SWEEP,L01,140.0,0.1,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 916, ""01"": 35, ""11"": 1012, ""10"": 37}",0.458,0.506,0.0175,0.0185,0.0
BELL_LAMBDA_SWEEP,L01,160.0,0.1,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 957, ""11"": 948, ""10"": 48, ""01"": 47}",0.4785,0.474,0.0235,0.024,0.0
BELL_LAMBDA_SWEEP,L01,180.0,0.1,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 937, ""11"": 964, ""01"": 53, ""10"": 46}",0.4685,0.482,0.0265,0.023,0.0
BELL_LAMBDA_SWEEP,L01,200.0,0.1,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 949, ""00"": 970, ""01"": 47, ""10"": 34}",0.485,0.4745,0.0235,0.017,0.0
BELL_LAMBDA_SWEEP,L02,0.0,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 948, ""00"": 980, ""10"": 38, ""01"": 34}",0.49,0.474,0.017,0.019,0.0
BELL_LAMBDA_SWEEP,L02,8.333333333333334,0.2,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 936, ""11"": 970, ""10"": 46, ""01"": 48}",0.468,0.485,0.024,0.023,0.0
BELL_LAMBDA_SWEEP,L02,16.666666666666668,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 933, ""11"": 970, ""01"": 57, ""10"": 40}",0.4665,0.485,0.0285,0.02,0.0
BELL_LAMBDA_SWEEP,L02,25.0,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 926, ""11"": 971, ""01"": 60, ""10"": 43}",0.463,0.4855,0.03,0.0215,0.0
BELL_LAMBDA_SWEEP,L02,33.333333333333336,0.2,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 954, ""00"": 945, ""01"": 58, ""10"": 43}",0.4725,0.477,0.029,0.0215,0.0
BELL_LAMBDA_SWEEP,L02,41.66666666666667,0.2,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 1004, ""00"": 895, ""10"": 51, ""01"": 50}",0.4475,0.502,0.025,0.0255,0.0
BELL_LAMBDA_SWEEP,L02,50.0,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""10"": 47, ""00"": 967, ""11"": 940, ""01"": 46}",0.4835,0.47,0.023,0.0235,0.0
BELL_LAMBDA_SWEEP,L02,60.0,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 1002, ""11"": 912, ""10"": 45, ""01"": 41}",0.501,0.456,0.0205,0.0225,0.0
BELL_LAMBDA_SWEEP,L02,80.0,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 967, ""00"": 950, ""10"": 38, ""01"": 45}",0.475,0.4835,0.0225,0.019,0.0
BELL_LAMBDA_SWEEP,L02,100.0,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 933, ""11"": 970, ""10"": 49, ""01"": 48}",0.4665,0.485,0.024,0.0245,0.0
BELL_LAMBDA_SWEEP,L02,120.0,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""01"": 30, ""11"": 950, ""00"": 971, ""10"": 49}",0.4855,0.475,0.015,0.0245,0.0
BELL_LAMBDA_SWEEP,L02,140.0,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 965, ""11"": 959, ""10"": 29, ""01"": 47}",0.4825,0.4795,0.0235,0.0145,0.0
BELL_LAMBDA_SWEEP,L02,160.0,0.2,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 990, ""11"": 931, ""01"": 35, ""10"": 44}",0.495,0.4655,0.0175,0.022,0.0
BELL_LAMBDA_SWEEP,L02,180.0,0.2,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 935, ""11"": 970, ""10"": 52, ""01"": 43}",0.4675,0.485,0.0215,0.026,0.0
BELL_LAMBDA_SWEEP,L02,200.0,0.2,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 978, ""00"": 923, ""01"": 45, ""10"": 54}",0.4615,0.489,0.0225,0.027,0.0
BELL_LAMBDA_SWEEP,L03,0.0,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 985, ""11"": 929, ""01"": 40, ""10"": 46}",0.4925,0.4645,0.02,0.023,0.0
BELL_LAMBDA_SWEEP,L03,8.333333333333334,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 951, ""00"": 962, ""01"": 51, ""10"": 36}",0.481,0.4755,0.0255,0.018,0.0
BELL_LAMBDA_SWEEP,L03,16.666666666666668,0.3,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 992, ""11"": 909, ""10"": 42, ""01"": 57}",0.496,0.4545,0.0285,0.021,0.0
BELL_LAMBDA_SWEEP,L03,25.0,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 930, ""11"": 984, ""10"": 40, ""01"": 46}",0.465,0.492,0.023,0.02,0.0
BELL_LAMBDA_SWEEP,L03,33.333333333333336,0.3,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 911, ""11"": 997, ""01"": 41, ""10"": 51}",0.4555,0.4985,0.0205,0.0255,0.0
BELL_LAMBDA_SWEEP,L03,41.66666666666667,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 943, ""11"": 951, ""01"": 54, ""10"": 52}",0.4715,0.4755,0.027,0.026,0.0
BELL_LAMBDA_SWEEP,L03,50.0,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 958, ""10"": 35, ""11"": 961, ""01"": 46}",0.479,0.4805,0.023,0.0175,0.0
BELL_LAMBDA_SWEEP,L03,60.0,0.3,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 965, ""00"": 951, ""10"": 43, ""01"": 41}",0.4755,0.4825,0.0205,0.0215,0.0
BELL_LAMBDA_SWEEP,L03,80.0,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 941, ""11"": 955, ""01"": 56, ""10"": 48}",0.4705,0.4775,0.028,0.024,0.0
BELL_LAMBDA_SWEEP,L03,100.0,0.3,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 957, ""00"": 943, ""10"": 60, ""01"": 40}",0.4715,0.4785,0.02,0.03,0.0
BELL_LAMBDA_SWEEP,L03,120.0,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 968, ""00"": 938, ""01"": 49, ""10"": 45}",0.469,0.484,0.0245,0.0225,0.0
BELL_LAMBDA_SWEEP,L03,140.0,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 966, ""11"": 938, ""10"": 51, ""01"": 45}",0.483,0.469,0.0225,0.0255,0.0
BELL_LAMBDA_SWEEP,L03,160.0,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 942, ""11"": 965, ""01"": 47, ""10"": 46}",0.471,0.4825,0.0235,0.023,0.0
BELL_LAMBDA_SWEEP,L03,180.0,0.3,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 939, ""11"": 974, ""01"": 45, ""10"": 42}",0.4695,0.487,0.0225,0.021,0.0
BELL_LAMBDA_SWEEP,L03,200.0,0.3,"{""00"": 1.0, ""11"": 0.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 975, ""00"": 926, ""01"": 49, ""10"": 50}",0.463,0.4875,0.0245,0.025,0.0
BELL_LAMBDA_SWEEP,L04,0.0,0.4,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""00"": 948, ""11"": 969, ""01"": 41, ""10"": 42}",0.474,0.4845,0.0205,0.021,0.0
BELL_LAMBDA_SWEEP,L04,8.333333333333334,0.4,"{""00"": 0.0, ""11"": 1.0, ""01"": 0.0, ""10"": 0.0}",0.0,2000,"{""11"": 942, ""00"": 962, ""01"": 59, ""10"": 37}",0.481,0.471,0.0295,0.0185,0.0
