kind,blind,delay_us,lambda,classical_ref,shots,counts_json,p00,p11,p01,p10,rep
T1,Z,0.0,,,2000,"{""1"": 1960, ""0"": 40}",0.02,0.98,0.0,0.0,0
T1,Z,8.333333333333334,,,2000,"{""1"": 1970, ""0"": 30}",0.015,0.985,0.0,0.0,0
T1,Z,16.666666666666668,,,2000,"{""1"": 1945, ""0"": 55}",0.0275,0.9725,0.0,0.0,0
T1,Z,25.0,,,2000,"{""1"": 1953, ""0"": 47}",0.0235,0.9765,0.0,0.0,0
T1,Z,33.333333333333336,,,2000,"{""1"": 1964, ""0"": 36}",0.018,0.982,0.0,0.0,0
T1,Z,41.66666666666667,,,2000,"{""1"": 1957, ""0"": 43}",0.0215,0.9785,0.0,0.0,0
T1,Z,50.0,,,2000,"{""1"": 1961, ""0"": 39}",0.0195,0.9805,0.0,0.0,0
T1,Z,60.0,,,2000,"{""1"": 1965, ""0"": 35}",0.0175,0.9825,0.0,0.0,0
T1,Z,80.0,,,2000,"{""1"": 1950, ""0"": 50}",0.025,0.975,0.0,0.0,0
T1,Z,100.0,,,2000,"{""1"": 1960, ""0"": 40}",0.02,0.98,0.0,0.0,0
T1,Z,120.0,,,2000,"{""1"": 1963, ""0"": 37}",0.0185,0.9815,0.0,0.0,0
T1,Z,140.0,,,2000,"{""1"": 1963, ""0"": 37}",0.0185,0.9815,0.0,0.0,0
T1,Z,160.0,,,2000,"{""1"": 1956, ""0"": 44}",0.022,0.978,0.0,0.0,0
T1,Z,180.0,,,2000,"{""1"": 1951, ""0"": 49}",0.0245,0.9755,0.0,0.0,0
T1,Z,200.0,,,2000,"{""1"": 1971, ""0"": 29}",0.0145,0.9855,0.0,0.0,0
RAMSEY_SINGLE,A,0.0,,,2000,"{""0"": 1961, ""1"": 39}",0.9805,0.0195,0.0,0.0,0
RAMSEY_SINGLE,A,8.333333333333334,,,2000,"{""0"": 1880, ""1"": 120}",0.94,0.06,0.0,0.0,0
RAMSEY_SINGLE,A,16.666666666666668,,,2000,"{""0"": 1793, ""1"": 207}",0.8965,0.1035,0.0,0.0,0
RAMSEY_SINGLE,A,25.0,,,2000,"{""0"": 1736, ""1"": 264}",0.868,0.132,0.0,0.0,0
RAMSEY_SINGLE,A,33.333333333333336,,,2000,"{""0"": 1627, ""1"": 373}",0.8135,0.1865,0.0,0.0,0
RAMSEY_SINGLE,A,41.66666666666667,,,2000,"{""1"": 401, ""0"": 1599}",0.7995,0.2005,0.0,0.0,0
