   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
---------------------------------------------------------
     A      B  -62.8128    0.0  -69.0907   -56.535   True
     A      C  -80.5286    0.0  -86.8065  -74.2508   True
     A    L00  -57.3976    0.0  -63.6754  -51.1198   True
     A    L01  -68.9684    0.0  -75.2462  -62.6905   True
     A    L02  -71.8958    0.0  -78.1736   -65.618   True
     A    L03  -61.1395    0.0  -67.4173  -54.8617   True
     A    L04   33.9611    0.0   27.6833   40.2389   True
     A    L05  -76.0226    0.0  -82.3004  -69.7448   True
     A    L06  -64.0337    0.0  -70.3116  -57.7559   True
     A    L07  -70.5827    0.0  -76.8605  -64.3048   True
     A    L08  -52.9033    0.0  -59.1812  -46.6255   True
     A    L09  -62.6361    0.0  -68.9139  -56.3583   True
     A    L10  -80.4553    0.0  -86.7331  -74.1775   True
     B      C  -17.7158    0.0  -23.9936   -11.438   True
     B    L00    5.4153 0.1711   -0.8626   11.6931  False
     B    L01   -6.1555 0.0605  -12.4334    0.1223  False
     B    L02    -9.083 0.0002  -15.3608   -2.8051   True
     B    L03    1.6733 0.9997   -4.6045    7.9512  False
     B    L04    96.774    0.0   90.4961  103.0518   True
     B    L05  -13.2097    0.0  -19.4876   -6.9319   True
     B    L06   -1.2209    1.0   -7.4987    5.0569  False
     B    L07   -7.7698 0.0034  -14.0477    -1.492   True
     B    L08    9.9095    0.0    3.6317   16.1873   True
     B    L09    0.1767    1.0   -6.1011    6.4546  False
     B    L10  -17.6425    0.0  -23.9203  -11.3646   True
     C    L00   23.1311    0.0   16.8532   29.4089   True
     C    L01   11.5603    0.0    5.2824   17.8381   True
     C    L02    8.6328 0.0005     2.355   14.9107   True
     C    L03   19.3891    0.0   13.1113    25.667   True
     C    L04  114.4898    0.0  108.2119  120.7676   True
     C    L05    4.5061 0.4475   -1.7718   10.7839  False
     C    L06   16.4949    0.0   10.2171   22.7727   True
     C    L07     9.946    0.0    3.6681   16.2238   True
     C    L08   27.6253    0.0   21.3475   33.9031   True
     C    L09   17.8925    0.0   11.6147   24.1704   True
     C    L10    0.0733    1.0   -6.2045    6.3512  False
   L00    L01  -11.5708    0.0  -17.8486    -5.293   True
   L00    L02  -14.4982    0.0   -20.776   -8.2204   True
   L00    L03   -3.7419 0.7403  -10.0198    2.5359  False
   L00    L04   91.3587    0.0   85.0809   97.6365   True
   L00    L05   -18.625    0.0  -24.9028  -12.3472   True
   L00    L06   -6.6362 0.0278   -12.914   -0.3583   True
   L00    L07  -13.1851    0.0  -19.4629   -6.9073   True
   L00    L08    4.4943  0.452   -1.7836   10.7721  False
   L00    L09   -5.2385 0.2123  -11.5164    1.0393  False
   L00    L10  -23.0577    0.0  -29.3355  -16.7799   True
   L01    L02   -2.9274 0.9444   -9.2052    3.3504  False
   L01    L03    7.8289  0.003     1.551   14.1067   True
   L01    L04  102.9295    0.0   96.6517  109.2073   True
   L01    L05   -7.0542 0.0133   -13.332   -0.7764   True
   L01    L06    4.9346  0.298   -1.3432   11.2125  False
   L01    L07   -1.6143 0.9998   -7.8921    4.6635  False
   L01    L08    16.065    0.0    9.7872   22.3429   True
   L01    L09    6.3323 0.0458    0.0544   12.6101   True
   L01    L10  -11.4869    0.0  -17.7647   -5.2091   True
   L02    L03   10.7563    0.0    4.4785   17.0341   True
   L02    L04  105.8569    0.0   99.5791  112.1347   True
   L02    L05   -4.1268 0.5955  -10.4046     2.151  False
   L02    L06    7.8621 0.0028    1.5842   14.1399   True
   L02    L07    1.3131    1.0   -4.9647     7.591  False
   L02    L08   18.9925    0.0   12.7146   25.2703   True
   L02    L09    9.2597 0.0001    2.9818   15.5375   True
   L02    L10   -8.5595 0.0006  -14.8373   -2.2817   True
   L03    L04   95.1006    0.0   88.8228  101.3784   True
   L03    L05  -14.8831    0.0  -21.1609   -8.6052   True
   L03    L06   -2.8942 0.9489   -9.1721    3.3836  False
   L03    L07   -9.4432 0.0001   -15.721   -3.1653   True
   L03    L08    8.2362 0.0013    1.9584    14.514   True
   L03    L09   -1.4966 0.9999   -7.7744    4.7812  False
   L03    L10  -19.3158    0.0  -25.5936   -13.038   True
   L04    L05 -109.9837    0.0 -116.2615 -103.7059   True
   L04    L06  -97.9948    0.0 -104.2727   -91.717   True
   L04    L07 -104.5438    0.0 -110.8216  -98.2659   True
   L04    L08  -86.8644    0.0  -93.1423  -80.5866   True
   L04    L09  -96.5972    0.0 -102.8751  -90.3194   True
   L04    L10 -114.4164    0.0 -120.6942 -108.1386   True
   L05    L06   11.9888    0.0     5.711   18.2667   True
   L05    L07    5.4399 0.1658   -0.8379   11.7177  False
   L05    L08   23.1193    0.0   16.8414   29.3971   True
   L05    L09   13.3865    0.0    7.1086   19.6643   True
   L05    L10   -4.4327 0.4755  -10.7105    1.8451  False
   L06    L07   -6.5489 0.0322  -12.8268   -0.2711   True
   L06    L08   11.1304    0.0    4.8526   17.4082   True
   L06    L09    1.3976    1.0   -4.8802    7.6754  False
   L06    L10  -16.4216    0.0  -22.6994  -10.1437   True
   L07    L08   17.6793    0.0   11.4015   23.9572   True
   L07    L09    7.9465 0.0023    1.6687   14.2244   True
   L07    L10   -9.8726    0.0  -16.1505   -3.5948   True
   L08    L09   -9.7328    0.0  -16.0106    -3.455   True
   L08    L10   -27.552    0.0  -33.8298  -21.2741   True
   L09    L10  -17.8192    0.0   -24.097  -11.5413   True
---------------------------------------------------------
